,en,zh_TW
story.Prologue_Ending_K7_2.item_locker_key_on_locker_3.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鑰匙吻合！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_4.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鑰匙吻合！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_5.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鑰匙吻合！
story.Prologue_Ending_K7_2.item_scissors_on_box.text.cba0c319a35c611ede5affd4f780250d381eb0bb,They're already open.,它們已經被打開了。
story.Prologue_Ending_K7_2.item_scissors_on_boxes.text.5aec51140ff6d1854154a6cd35bdb15fc52f54ea,"Despite your best efforts, you can't seem to cut through it with your scissors.",儘管妳的努力，看來還是沒辦法用剪刀割開它。
story.Prologue_Ending_K7_2.misc_box.text.1fb8cc1aca928f0182605a85cb73810dcaf39011,The box contains an assortment of differently sized blue cans.,箱子裡有各種不同大小的藍色罐子。
story.Prologue_Ending_K7_2.misc_boxes.text.acdf8964d0362810fc7d3502e004502935bab29a,A pile of boxes.,一堆箱子。
story.Prologue_Ending_K7_2.misc_boxes.text.16739b61c5a3940f01aa28b51a8457767a5e884c,They seem to be stuck together.,它們看來被黏在一起。
story.Prologue_Ending_K7_2.misc_locker_0.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大置物櫃。
story.Prologue_Ending_K7_2.misc_locker_0.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_Ending_K7_2.misc_locker_1.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大置物櫃。
story.Prologue_Ending_K7_2.misc_locker_1.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_Ending_K7_2.misc_locker_1.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,空的。
story.Prologue_Ending_K7_2.misc_locker_2.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大置物櫃。
story.Prologue_Ending_K7_2.misc_locker_2.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_Ending_K7_2.misc_locker_2.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,空的。
story.Prologue_Ending_K7_2.misc_locker_3.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大置物櫃。
story.Prologue_Ending_K7_2.misc_locker_3.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_Ending_K7_2.misc_locker_3.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,空的。
story.Prologue_Ending_K7_2.misc_locker_4.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大置物櫃。
story.Prologue_Ending_K7_2.misc_locker_4.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_Ending_K7_2.misc_locker_4.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,空的。
story.Prologue_Ending_K7_2.misc_locker_5.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大置物櫃。
story.Prologue_Ending_K7_2.misc_locker_5.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_Ending_K7_2.misc_locker_5.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,空的。
story.Prologue_Ending_K7_2.misc_trashcan.text.c151769c9b7c94a0bc56d85aa96edce07f38d4be,A trash can.,垃圾桶。
story.Prologue_Ending_K7_2.misc_trashcan.text.d9caba56ca74e503dd949c7f046065cdc0baeced,Some black goo can be seen at the bottom.,可以在底下看到黑色黏液。
story.Prologue_Ending_K7_2.misc_trashcans.text.524ba9242b167d28e4d3d5615933c89db8318513,A pile of trash cans.,一疊垃圾桶。
story.Prologue_Ending_K7_2.misc_trashcans.text.16739b61c5a3940f01aa28b51a8457767a5e884c,They seem to be stuck together.,它們看來被黏在一起。
story.Prologue_Ending_K7_2.move_enter.text.0d760fca65be9738a45f425251b44d19a6361ebf,So... maybe the ritual worked?,那麼…也許儀式成功了？
story.Prologue_Ending_K7_2.move_enter.text.bcbcd2ecd528289215e2b6121962cc4527ffeaa4,But the ritual wasn't finished.,可是儀式還沒完成。
story.Prologue_Ending_K7_2.move_enter.text.7344407b3355bbb7fcc931167e97e2f0d3b3529d,"Which means either the school has a bunch of cursed-looking rooms and a dark secret, or this isn't the school anymore.",代表學校有一堆詭異的房間和不可告人的秘密，或是我們已經不在學校了。
story.Prologue_Ending_K7_2.move_enter.text.abc7624541537b0f7c2de0907516ceaf9b2d647e,"If it's not the school, then what is it?",如果這裡不是學校，那能是哪裡。
story.Prologue_Ending_K7_2.move_enter.text.f6d83edc45f0b5db67760927a6156b71e8e91b28,No idea.,不知道。
story.Prologue_Ending_K7_2.move_enter.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Ending_K7_2.move_enter.text.72192521ede59e8e0711d87f59e11e46de95adea,"In any case, it doesn't feel too dangerous, so let's continue.",無論如何，感覺沒有很危險，我們繼續吧。
