,en,zh_TW
story.Prologue_Classroom_3.misc_books.text.50578934420c3b27390c65b91950a7a9516bac63,I'll keep that in mind.,我會留意這點的。
story.Prologue_Classroom_3.misc_chalkboard.text.996c7ffde7f4de6e04435eeeafaf0751c8d69a1c,A clean chalkboard.,乾淨的黑板。
story.Prologue_Classroom_3.misc_desk.text.9eb16580a197d2cf1a69fc82764f982b5be5d5e7,A wooden desk.,木桌。
story.Prologue_Classroom_3.misc_paper.text.961984b22eb28e1b3c80db89f933dee6e2613d98,Two paper slips filled with rules and regulations.,兩張填滿了規定和規則的紙張。
story.Prologue_Classroom_3.misc_paper.text.eb7268e8dd3b94d272e0dd845c47e857a6a15746,I wonder if it says somewhere that we're not allowed on school grounds at night.,不知道上面有沒有寫我們不能晚上在學校出沒。
story.Prologue_Classroom_3.misc_paper.text.59e91aadf34fbc9d6ce5b6c834fe07dfaefe7f09,Oh well! I guess we'll never know if I don't read it!,如果我沒有讀它我們大概永遠都不會知道！
story.Prologue_Classroom_3.misc_pinboard.text.33e38a6ca97d020cf943319b0b6050a281afb2ca,Some classroom attendance sheets and schedules.,出席表和課表。
story.Prologue_Classroom_3.misc_plant.text.7219399b824ee80374fd4252111163dbe7afa70c,A happy green plant.,快樂的綠色植物。
story.Prologue_Classroom_3.misc_plant.text.125dd56afe0d4478e1a7f34c9ec48fc2a7e4bd6c,The plant is no longer happy.,植物不再快樂了。
story.Prologue_Classroom_3.misc_plants.text.4d70a9992533b62d0dffed12e8fef918aa146331,Some cute potted plants. Their silent nature enchants you.,可愛的植物。它們沉默的本質吸引著妳。
story.Prologue_Classroom_3.misc_podium.text.760df8526ebfc0a8d9b9154494a4cd9c6baf7726,The teacher's podium.,教師的講台。
story.Prologue_Classroom_3.misc_podium.text.6ce15ca27f5ca48d71b4a016f33833bcd78fb44f,A geography book and a globe sit atop it.,地理相關書本以及在其之上的地球儀。
story.Prologue_Classroom_3.misc_shelf.text.bd28c802e52a8bcdea8b40a5aeb08aab922efd18,Some boring textbooks.,無聊的課本。
story.Prologue_Classroom_3.misc_shelf2a.text.bdec03e7317af0a79fa94cc26f0693db67eac16f,"Some very thick, school-related books.",非常厚重、跟學校有關的書本。
story.Prologue_Classroom_3.misc_shelf2b.text.5976341a7cf838c5d3c59c8187b2f487abe54dc7,Some books and... chalk.,書本和…粉筆。
story.Prologue_Classroom_3.misc_shelf2b.choice.text.e8d32d47491e2462d1e83b81526638ac486785c4,Take it?,拿走嗎？
story.Prologue_Classroom_3.misc_shelf2b.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Classroom_3.misc_shelf2b.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Classroom_3.misc_shelf2b.text.9dd1b82a5e4f409f34a6c727d6cf043f271ad8f9,There's nothing else of use.,沒有什麼有用的東西了。
story.Prologue_Classroom_3.misc_trashcan.text.c151769c9b7c94a0bc56d85aa96edce07f38d4be,A trash can.,垃圾桶。
story.Prologue_Classroom_3.misc_trashcan.text.88eca18b664c00fc02ee6ab7f6f8418405a98ea1,"As it's usually the case with trash cans, it's devoid of useful items.",就像常見的垃圾桶一樣，它缺乏了有用的物品。
story.Prologue_Classroom_3.misc_window1.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,窗簾應該關上。
story.Prologue_Classroom_3.misc_window2.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,窗簾應該關上。
story.Prologue_Classroom_3.misc_window3.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,窗簾應該關上。
story.Prologue_Classroom_3.move_enter.choice.text.de94a1b5f3e96666575b288236ae55f16301c4ff,Should I sort the desks in this classroom now?,我應該現在把教室的桌子排好嗎？
story.Prologue_Classroom_3.move_enter.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Classroom_3.move_enter.choice.8de95fd5b4121e2d7c337a70f664f13c28c3c275,Not yet,再等等
story.Prologue_Classroom_3.move_enter.text.7c6267ee4264c3380f5ba82b281c8302568043f0,Let's do this.,來吧。
