,en,zh_TW
story.Prologue_HOD.move_door2.text.adca6d67f9d87b5a7c465afba066a2c2b18d0215,It's very locked.,絕對是被鎖住了。
story.Prologue_HOD.move_door2.text.e96ca605746a85b178a3aa9da7c0706a4fe4ea11,This door is open...,門打開了…
story.Prologue_HOD.move_door2.text.8e8f6221407a84d6cdcfaac7f8e1eb9ed7f109e4,Wasn't it boarded up...?,之前不是被封住了嗎…？
story.Prologue_HOD.move_door2.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_HOD.move_door2.text.0c5c669ae546bad8f360457f60028866820b5a37,Everything else is locked... I have no other choice but to go in...,其他門都被鎖住了…我沒有其他的選擇…
story.Prologue_HOD.move_door3.text.915d6b4b1d7c44204f97a4e85d3eb8b3d85257e3,A fairly normal-looking door.,看起來很正常的門。
story.Prologue_HOD.move_door3.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_HOD.move_door3.text.601cba21676d913d39ebb318c1e7aacdc87cf967,There's nothing here.,這裡沒有東西。
story.Prologue_HOD.move_door4.text.61f9fcee0cdea05f9c9aa657cc340f5d576b3200,A small door with an odd pattern.,有著奇怪圖案的小門。
story.Prologue_HOD.move_door4.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_HOD.move_door5.text.cee11cdfebb1f319c1d263d50b40ac104b3e7abd,A door with a glossy finish.,有著光華外表的門。
story.Prologue_HOD.move_door5.text.3a597447863a6ab302c74bec49eb5408c70ad2e3,You can see yourself in it.,你可以從中看到自己。
story.Prologue_HOD.move_door5.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_HOD.move_door6.text.ddbd38eba1be4e0b57ef351bba980f224c8ba179,A door with an odd pattern.,有著奇怪圖案的門。
story.Prologue_HOD.move_door6.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
