,en,zh_TW
system.settings.input.profile.ds4,DualShock 4,DualShock 4
system.settings.input.profile.ds4jp,DualShock 4 (JP),DualShock 4 (JP)
system.settings.input.profile.dvorak,Dvorak Classic,Dvorak Classic
system.settings.input.profile.dvorak-wasd,Dvorak WASD,Dvorak WASD
system.settings.input.profile.genericpad,Generic,通用
system.settings.input.profile.switchpro,Switch Pro,Switch Pro
system.settings.input.profile.wasd,WASD,WASD
system.settings.input.profile.xbox,Xbox,Xbox
system.settings.notrecommended,Not recommended,不建議
system.settings.objectivenotifications,Objective Notifications,目標提示
system.settings.renderer,Renderer,渲染器
system.settings.renderer.gles2,OpenGL ES 2.x,OpenGL ES 2.x
system.settings.renderer.gles3,OpenGL ES 3.x,OpenGL ES 3.x
system.settings.resolution,Resolution,解析度
system.settings.restartrequired,Restart required,需要重啟
system.settings.revertall,Revert Settings to Default,重置設定置預設值
system.settings.saturation,Saturation,飽和度
system.settings.video,Screen Settings,螢幕設定
system.settings.volume.bgm,BGM Volume,背景音樂音量
system.settings.volume.master,General Volume,總體音量
system.settings.volume.mute,Mute All Audio,靜音
system.settings.volume.sfx,SFX Volume,音效音量
system.settings.volume.system,Interface Volume,介面音量
system.settings.volume.text,Text Scrolling Volume,文字滾動音量
system.settings.vsync,V-Sync,垂直同步
system.settings.windowsize,Window Size,視窗大小
system.storyplayer.item.get,Obtained {0} {1},取得 {0} {1}
system.tutorials.info,{0} Okay,{0} 確定
