,en,zh_TW
story.Prologue_Hallway.event_see_closet_door.text.553bdcb657e76b6dd77cc1d66e534436752993b2,"Say, why don't we check it out?",是說，何不看看裡面有什麼？
story.Prologue_Hallway.event_see_closet_door.text.974d6215b516f92ee6b086303edd10edb1ac55d1,You want to break into this room...?,妳想要闖進這房間…？
story.Prologue_Hallway.event_see_closet_door.text.71a3b0540eaa26c2e68dbb0c4f05633ab0cfcec5,Why not? Can't be any worse than trying a silly ritual.,為什麼不要？不會比什麼愚蠢的儀式還糟糕。
story.Prologue_Hallway.event_see_closet_door.text.48fe5a4bc773af7503bf2d1463dc58f7444af3ef,I hope it's safe...,希望很安全…
story.Prologue_Hallway.event_see_closet_door.text.7b88d60bf7db6da624f0635e62bfb8e343757f50,"We would need a way to open it, though.",我們需要找個方法打開。
story.Prologue_Hallway.event_see_closet_door.text.eada98214a0f210eab93a8b93b29246435326c23,We're counting on you.,就靠妳了。
story.Prologue_Hallway.event_see_closet_door.text.170b0e4e470ef1983704c1cfb289ab0efb8436ab,"You can do it, Kat.",妳可以的，凱特。
story.Prologue_Hallway.event_see_closet_door.text.d368cd6ca1776ce3f28d302d71f96cf5149fc69a,I never said-,我沒有說-
story.Prologue_Hallway.event_see_closet_door.text.30ff5db18c209a4fdc670036b587b020bcd7b8e5,"Geez, fine.",哎，好啦。
story.Prologue_Hallway.event_theater_door_unlock.text.f79c8d11189f1dbf961110f8c8a9fab86c46107b,The door unlocked!,門被打開了！
story.Prologue_Hallway.item_hairpin_on_door_closet.text.30f6726025ad0e27cae6960152f74866e78dd122,I'm really curious as to what's behind this door...,我真的很想知道門後有什麼東西…
story.Prologue_Hallway.item_hairpin_on_door_closet.text.b7fd5715a3202e03aee35ff7ba1e84695154d1ff,But I don't have time for this right now.,可是現在沒空。
story.Prologue_Hallway.item_hairpin_on_door_closet.text.0e0faa8ef50d64f9e6c614e97cfde531cb0a8012,It's already open.,已經開了。
story.Prologue_Hallway.item_hairpin_on_door_closet.text.78ec0fc84c5e6461d575f11637281ea40c00a027,You can't do that anymore.,妳不能再這麼做。
story.Prologue_Hallway.item_hairpin_on_door_theater.text.5307874866c94d77b2cb6e815f105d21f3bfc1aa,I've gotta get in somehow.,妳需要想個方法進去。
story.Prologue_Hallway.item_hairpin_on_door_theater.choice.text.69e51834a8d4652070d6a410125e9540ca193851,Should I try to pick the lock?,我應該嘗試撬鎖嗎？
story.Prologue_Hallway.item_hairpin_on_door_theater.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Hallway.item_hairpin_on_door_theater.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Hallway.item_hairpin_on_door_theater.text.374253f6bf0eb6e4f7eea8972a12655369af460b,Let's give it a shot.,來試試吧。
story.Prologue_Hallway.item_hairpin_on_door_theater.text.0e0faa8ef50d64f9e6c614e97cfde531cb0a8012,It's already open.,已經開了。
story.Prologue_Hallway.item_hairpin_on_door_theater.text.4488124fc23f41e74910218471ebba611d64a006,I don't think I need anything from here.,不需要這裡的東西了。
story.Prologue_Hallway.item_hairpin_on_door_theater.text.fd2cdaa9e6fd3f499b5f0061f19162117c1a326f,"I have the key, so there's no point in that.",我有鑰匙，所以沒有必要那麼做。
story.Prologue_Hallway.item_key_on_door_closet.text.3715c0c9b7f1208bc096adccf9820f36c100d219,This key doesn't fit here.,鑰匙插不進去。
story.Prologue_Hallway.item_key_on_door_theater.text.0e0faa8ef50d64f9e6c614e97cfde531cb0a8012,It's already open.,已經開了。
story.Prologue_Hallway.item_scissors_on_doors.text.da6f295372f6aca924f08c4b293649adc584cf5c,That's not how locks work.,鎖不是這樣運作的。
story.Prologue_Hallway.misc_paper1.text.4d9dc26f87315872341fe5d5cfc113cea8daf5fc,"It reads ""No running in the hallways.""","上面寫著""不得於走廊上奔跑。"""
story.Prologue_Hallway.misc_paper2.text.36ea812beecc1445d829ada7b360a448925cca87,A list of safety regulations.,安全規範。
story.Prologue_Hallway.misc_paper3.text.0440f60039bd2cbb31d25fa91e343582939d39b4,The exams schedule.,考試時間表。
story.Prologue_Hallway.misc_paper4.text.36ea812beecc1445d829ada7b360a448925cca87,A list of safety regulations.,安全規範。
story.Prologue_Hallway.misc_pinboard.text.6a00b1dceb9edc4e46acc132a8206016f3f7a864,A pinboard with some important school papers.,有著重要學校公告的看板。
story.Prologue_Hallway.misc_plaque1.text.7311d93158d555119df085d98b49ac7906a2c793,"""Club Room""","""社團辦公室"""
story.Prologue_Hallway.misc_plaque2.text.f279e954b5d778913de297190b35483fc1e1369b,"""Classroom 3-A""","""3-A 教室"""
story.Prologue_Hallway.misc_plaque3.text.339a9dfa993a9585fddb881b876cf320bafc897f,"""Classroom 3-B""","""3-B 教室"""
story.Prologue_Hallway.misc_plaque4.text.9c276da22370178aae71f9722343278d88b506ff,"""Classroom 3-C""","""3-C 教室"""
story.Prologue_Hallway.misc_plaque5.text.7311d93158d555119df085d98b49ac7906a2c793,"""Club Room""","""社團辦公室"""
story.Prologue_Hallway.misc_trashcan1.text.2ba5d0b4aa448ba9445bf8b57217119036c5e607,An unexciting trash can.,平淡無奇的垃圾桶。
story.Prologue_Hallway.misc_trashcan2.text.38210f804489bf93b819393f276962e093d8766d,A boring trash can.,無聊的垃圾桶。
story.Prologue_Hallway.misc_window_crack.text.354acfcb191c156c2f9bd017ebd07cdb1a36fce1,The window is cracked.,窗戶裂開了。
story.Prologue_Hallway.misc_window_crack.text.02f9acad2b7987a13e1f2adcb05910ad3b249b8b,That spooked me...,嚇到我了…
story.Prologue_Hallway.misc_window_crack.text.480b2a72cdf5f25e24d0e5387d7064bb61074777,This isn't good for my heart...,這可對我的心臟不好…
story.Prologue_Hallway.misc_window_hand.text.24ad6d77cdaea97f6b0d7030c7ecde5f9819fdf2,There's a handprint on the window.,窗上有手印。
story.Prologue_Hallway.misc_window_hand.text.ed49e1eb73d87d69d3f7578f5386fe55afbfdf73,Was this always here?,這一直都在這嗎？
story.Prologue_Hallway.misc_windows_exterior.text.d95eee56e500c739aec7fa54839b93ce1ac3c553,The front yard of the school is visible from here.,可以從這裡看到學校操場。
story.Prologue_Hallway.misc_windows_exterior.text.8ae3bfd3ff8f1a091fb860caf931488ca91b0461,Better stay clear of the windows or someone might see me.,最好遠離窗戶以免有人看到我。
story.Prologue_Hallway.misc_windows_interior.text.7979d2b6150958fdb5076e4cddf75a5a8b35474e,The windows of the classroom.,教室的窗戶。
story.Prologue_Hallway.misc_windows_interior.text.6d87e2f66a8dda674985f5a638f82ecff078192c,I can't see much through them.,看不清楚裡面。
story.Prologue_Hallway.move_closet.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_Hallway.move_closet.text.359590d95487bbd2ed7cd0beb12cb27f3ac49872,It won't open anymore.,沒辦法打開了。
story.Prologue_Hallway.move_club_theater.text.753f5ca3aced2535c3e131fe8ebcc421e9ee4cba,This is the Theater Club's room. It's locked.,這裡是戲劇社辦。被鎖住了。
story.Prologue_Hallway.move_club_theater.text.4488124fc23f41e74910218471ebba611d64a006,I don't think I need anything from here.,應該不需要這裡的東西。
story.Prologue_Hallway.move_club_theater.text.06d037a63be7bfec6fb3f1cc485bdfec6c69bf4f,I may be able to find some curtains in there.,我應該可以在這裡找到窗簾。
story.Prologue_Hallway.move_club_theater.text.0468ce0997d34f7492fb5c0cc162d746de31afea,I wonder if any of the girls is a member of this club.,不知道那些女孩中有沒有社員。
story.Prologue_Hallway.move_club_theater.text.a0c84ad721136c63f2b0daeb15de41c80d602938,I'm not on great terms with them though...,可是我跟她們關係不是很好…
story.Prologue_Hallway.move_club_theater.text.d6dba0421117222dd14b6773c9a34a4f36bd4907,But I have the key now.,不過我現在有鑰匙了。
story.Prologue_Hallway.move_club_theater.text.94f34343173746ce312bdb04665ba7066d5e0a83,How am I going to open it now...?,現在我要怎麼開它呢…？
story.Prologue_Hallway.move_club_theater.text.c00daa512a824f9919ad5253b80dc2c6507ea3b4,Maybe I should deliver that notebook.,也許我該交還那本筆記本。
